time,OS,RL
78.9981,13.3218,13.4294
79.1985,13.3188,13.4333
79.399,13.3177,13.4354
79.5994,13.3183,13.4359
79.7999,13.3211,13.4333
80.0004,13.3243,13.4256
80.2008,13.3312,13.4213
80.4012,13.336,13.4169
80.6017,13.3445,13.4123
80.8022,13.3515,13.4068
81.0027,13.3569,13.4017
81.2031,13.3592,13.397
81.4035,13.3613,13.3931
81.6039,13.3589,13.3911
81.8043,13.3577,13.3877
82.0047,13.3616,13.3835
82.2051,13.3659,13.3777
82.4055,13.3702,13.37
82.606,13.3754,13.3608
82.8064,13.3838,13.3521
83.0069,13.3941,13.3433
83.2073,13.4039,13.3337
83.4077,13.4131,13.3236
83.6081,13.4203,13.3141
83.8085,13.4285,13.3057
84.0089,13.4332,13.3
84.2094,13.4341,13.2959
84.4098,13.4334,13.2944
84.6103,13.4352,13.2943
84.8107,13.4369,13.2954
85.0111,13.4342,13.2993
85.2115,13.4304,13.3065
85.412,13.4217,13.3145
85.6124,13.4119,13.3256
85.8128,13.4013,13.3368
86.0132,13.3902,13.3496
86.2136,13.3797,13.3633
86.414,13.3723,13.3763
86.6144,13.3677,13.3911
86.8148,13.3644,13.406
87.0153,13.3617,13.4183
87.2158,13.3588,13.4333
87.4162,13.3535,13.4439
87.6166,13.3497,13.4529
87.817,13.3474,13.4589
88.0175,13.3505,13.4653
88.2181,13.3575,13.4691
88.4186,13.3673,13.4691
88.6191,13.3784,13.4654
88.8196,13.3902,13.4603
89.0201,13.39,13.4524
89.2206,13.3895,13.4439
89.4211,13.387,13.433
89.6216,13.385,13.4206
89.8221,13.3829,13.4095
90.0225,13.3934,13.398
90.223,13.4007,13.386
90.4234,13.4077,13.3731
90.6239,13.4166,13.3608
90.8244,13.4258,13.3521
91.0249,13.4378,13.3452
91.2253,13.448,13.3399
91.4258,13.4508,13.3349
91.6262,13.4505,13.3298
91.8268,13.4472,13.3258
92.0273,13.4373,13.3256
92.2278,13.426,13.3221
92.4282,13.4132,13.3197
92.6287,13.3948,13.3174
92.8292,13.3748,13.3167
93.0296,13.3573,13.3154
93.2301,13.3463,13.3158
93.4306,13.3355,13.3186
93.6311,13.3215,13.3215
93.8315,13.3097,13.324
